tweet_id,wrong_rating_numerator,wrong_rating_denominator,rating_numerator,rating_denominator,issue_numerator_and_denominator
820690176645140481,84,70,12,10,Plural issue
758467244762497024,165,150,11,10,Plural issue
740373189193256964,9,11,14,10,Two fractions in the tweet.
731156023742988288,204,170,12,10,Plural issue
722974582966214656,4,20,13,10,Two fractions in the tweet.
716439118184652801,50,50,11,10,Two fractions in the tweet.
713900603437621249,99,90,11,10,Two fractions in the tweet.
710658690886586372,80,80,10,10,Plural issue
709198395643068416,45,50,9,10,Plural issue
704054845121142784,60,50,11,10,Plural issue
697463031882764288,44,40,11,10,Plural issue
684222868335505415,121,110,11,10,Plural issue
682962037429899265,7,11,10,10,Two fractions in the tweet.
677716515794329600,144,120,12,10,Plural issue
675853064436391936,88,80,11,10,Plural issue
666287406224695296,1,2,9,10,Two fractions in the tweet.